Windfarm Id,Name,OtherNames,Country Name,Windfarm Status,Round/Category,Region,Comments,Website,Most Recent Lifecycle Event,Offshore Construction Starts,Submit Consent Application,Financial Close,First Power,Estimated COD,COD,Owners,Developers,Operators,Capacity MW (Max),Num Turbines (Max),Total # of Turbines,Turbine Description,# of Turbine 1,Turbine 1 OEM,Turbine 1 Model,Turbine 1 Estimated,Turbine 1 Drive Train,Turbine 1 Capacity MW,TotalTurbine 1 HeightM,HubHeight 1 M,RotorDiam 1 M,# of Turbine 2,Turbine 2 OEM ,Turbine 2 Model,Turbine 2 Estimated,Turbine 2 Drive Train,Turbine 2 Capacity MW,TotalTurbine 2 Height,HubHeight 2 ,RotorDiam 2 M,Others,Foundation Description,Total # of Foundations,# of Foundation 1,FoundationType 1,Foundation Tech 1,# of Foundation 2,Foundation Type 2,Foundation Tech 2,Foundation Comments,CAPEX,ProjectCost Mill,ProjectCost Currency,WaterDepthM (Min),WaterDepthM (Max),DevDepthM (Min),DevDepthM (Max),DistanceFrom ShoreQuoted,DistanceFrom ShoreAuto,WindSpeed1m (m/s),AreaSqKm,Lat,Lon,Sea Name,GeoRegion,Estimated Location,Installation Base,Ops and Maintenance,NumOffshore Substations,SharedPlatformType,GridConnection Point,LandingPoint,AC_NumCables,AC_AverageLengthCableKm,AC_AdditionalRequirementsKm,AC_NominalVoltageKV,AC_MaximumVoltageKV,AC_SectionMM2,DC_NumCables,DC_AverageLengthCableKm,DC_AdditionalRequirementsKm,DC_NominalVoltageKV,DC_MaximumVoltageKV,DC_SectionMM2,ExportCableComments,CableLengthKm,NominalVoltageKV_A,MaximumVoltageKV_A,SectionMM2_A,Comments_A,Num Cables,AverageLengthCableKm_O,Comments_O,ExpectedLife Years
DE2A,Gode Wind 4,Gode Wind IV,Germany,Approved,WindSeeG: 2nd Tender,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 3),,,"31 Dec 2018: The project must begin construction according to an extension issued by the Federal Maritime and Hydrographic Agency of Germany (BSH), although it is anticipated that a further extension will be granted should the project progress in the 2017 tender rounds.",1-Jan-23,,,,,,Ørsted A/S (formerly DONG Energy AS),Gode Wind II GmbH,,131.75,10,10,TBD,,,,,,15,,,,,,,,,,,,,,Grounded: Monopile,10,,Grounded,Monopile,,,,,,,,30,34,29,34,,42,9.88,9.47,54.05,7.105,North Sea,Europe,NO,,,1,HVDC Converter Station,DolWin6 (NOR-3-3),,2,14.4,,,,,,,,,,,"A shared connection has been proposed for connecting Gode Wind III/Godewind 04 and N-3.7 to DolWin6 converter, due to area's cable route only allowing for a maximum of two three-phase submarine cable systems.    Options are for    - N-3.7 to have own substation that connects to DolWin6 via two three phase cable systems from Gode Wind III/Godewind 04's substation.    - N-3.7 and Gode Wind III/Godewind 04's arrays to feed into a shared substation that connects to DolWin6 via two three phase cable systems.    -  N-3.7 and Gode Wind III/Godewind 04 each have a substation that connects to DolWin6 via a single three phase cable.",,,,,,,,,
DE2I,Hiddensee - reserve area for wind energy,,Germany,Development Zone,,12nm zone (Mecklenburg-Vorpommern),,http://www.regierung-mv.de/Landesregierung/em/Raumordnung/Landesraumentwicklungsprogramm/aktuelles-Programm/,09 Jun 2016: Area included in Mecklenburg-Vorpommern land development plan and Germany's maritime spatial planning document.,,,,,,,"Mecklenburg-Vorpommern - Ministerium für Energie, Infrastruktur und Landesentwicklung",,,,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,20,20,,,,19,8.86,15.22,54.701,12.942,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE11,Hohe See,Hochsee Windpark 'Nordsee',Germany,Under Construction,,Exclusive Economic Zone 2 (BorWin) (BSH Cluster 8),"In November 2015, Hohe See was awarded 50MW of additional grid connection capacity at BorWin 2 as part of the 2015 allocation round held by BNetzA. EnBW Hohe See now has a total of 500MW of allocated grid connection capacity across BorWin 2 and 3.",https://www.enbw.com/erneuerbare-energien/windenergie/unsere-windparks-auf-see/hohe-see/,01 Jan 2019: Turbine installation is scheduled to start in the first half of 2019.,13-Apr-18,2-Jul-01,31-Dec-16,2019,,2019,"EnBW Energie Baden-Württemberg AG,Enbridge Inc.,Canada Pension Plan Investment Board (CPPIB)",EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,497,71,71,SWT-7.0-154 (Siemens Gamesa),,Siemens Gamesa,SWT-7.0-154,,Direct Drive,7,,,154,,,,,,,,,,,Grounded: Monopile,71,,Grounded,Monopile,,,,Transition pieces weigh 460 tons.,EUR 1800m,EUR,1800,39,40,39,40,90,104,10.05,40.4,54.443,6.33,North Sea,Europe,NO,,Emdem (Helicopter base),1,HVDC Converter Station,BorWin 3,,2,9.3,,155,,,,,,,,,,100,33,,,Total of 79 inter-array cables.,,,,
DE76,Hooksiel,Wilhelmshaven,Germany,Decommissioned,,12nm zone (Lower Saxony Niedersachsen),,,01 Jan 2017: Permit for operation of nearshore turbine expires.,28-Aug-08,,,2008,,2008,Offshore Wind Solutions GmbH,Bard Engineering GmbH,Offshore Wind Solutions GmbH,5,1,1,Bard 5.0 (Bard),1,Bard,Bard 5.0,,Geared,5,151,90,122,,,,,,,,,,,Grounded: Tripile,1,,Grounded,Tripod,,,,Demonstation site for BARD.,,,,5,5,,,0.4,2,9.94,,53.637,8.104,North Sea,Europe,NO,Hooksiel,Hooksiel,0,,Wilhelmshaven gas and electricity works  Wilhelmshaven Gas and Electricity works,Hooksiel,1,0.4,,20,,,,,,,,,,,,,,,,,,
DE33,Kaskasi,"Kaskasi II, (formerly) Hochsee testfeld Helgoland",Germany,Approved,WindSeeG: 2nd Tender,Exclusive Economic Zone 1 (HelWin) (BSH Cluster 4),,http://www.rwe.com/web/cms/en/2745594/rwe-innogy/sites/wind-offshore/developing-sites/kaskasi/,01 Jun 2018: The Kaskasi tender processes for the key contracts started between June and September 2018.,1-Jan-21,1-Jun-13,1-Jan-20,2022,,2022,Innogy SE,Innogy SE,,325,34,34,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,34,,Grounded,,,,,Monopiles likely. Intend to use vibropiling exclusively.,,,,22,26,18,25,47.58,47,9.78,17.39,54.489,7.695,North Sea,Europe,NO,,,1,HVDC Converter Station,HelWin2 (NOR-4-2),Büsum,,,,,,,,,,,,,,,,,,,,,,
DE07,Meerwind Süd/Ost,Meerwind,Germany,Installed,,Exclusive Economic Zone 1 (HelWin) (BSH Cluster 4),This is the first German offshore wind project to get full certification from DNV GL.,http://www.windmw.de,"05 Feb 2016: It is understood that bids for Blackstone's share in the project has been submitted. Bidders likely to include  Macquarie, Allianz and MEAG",9-Sep-12,22-Sep-06,5-Aug-11,2014,0,2015,"Windland Energieerzeugungs GmbH,China Three Gorges Corporation (??????????),China Yangtze Power Co.,Ltd (CYPC)",WindMW GmbH,WindMW GmbH,288,80,80,SWT-3.6-120 (Siemens),,Siemens,SWT-3.6-120,,Geared,3.6,149,89,120,,,,,,,,,,,Grounded: Monopile,80,,Grounded,Monopile,,,,Average monopile = 626 tonnes  Average transition piece = 270 tonnes,EUR 1200m,EUR,1200,24,27,22,26,53,54,9.78,39.71,54.392,7.704,North Sea,Europe,NO,Cuxhaven,Helgoland,1,HVDC Converter Station,HelWin1 (alpha) offshore substation - Büttel (onshore) substation,Büsum,2,7.6,,155,,400,,,,,,,,108,33,,,88 array cables.,,45,HVDC,
DE26,Merkur,MEG Offshore I,Germany,Under Construction,,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 2),,http://merkur-offshore.com/,14 Sep 2018: Turbine installation is completed.,20-Apr-17,4-Oct-06,12-Aug-16,2018,,2019,"DEME CONCESSIONS NV,InfraRed Capital Partners Limited,Partners Group,GE Energy (UK) Ltd.,ADEME Agence de l'Environnement et de la Maîtrise de l'Energie",Merkur Offshore GmbH,,396,66,66,Haliade 150-6MW (GE Energy),66,GE Energy,Haliade 150-6MW,,Direct Drive,6,177.6,102.6,150,,,,,,,,,,,Grounded: Monopile,66,,Grounded,Monopile,,,,"Diameter 6-7.8m, lengths of up to 58.5-72.6m (embedment length 25-35.4m), and a total weight of approx. 730-970 t.  Transition pieces are 27.9m tall and weigh 330mt.",EUR 1600m,EUR,1600,27,33,27,33,45,60,9.92,39.23,54.043,6.554,North Sea,Europe,NO,"Eemshaven (Orange Blue Terminals B.V.) Nacelles, TPs and Towers.",Eemshaven,1,HVDC Converter Station,DolWin3,Hilgenriedersiel,2,12.4,,155,,,,,,,,,,90,33,,630,73 array cables vary in cross-sectional area from 150mm2 to 630mm2.,,,,25
DE3C,N-10.1,,Germany,Development Zone,German Central Tender 2026+,Exclusive Economic Zone 3 (BorWin) (BSH Cluster 10),Area is not likely to be tendered until after 2028.,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,,,,,,,,,,,1000,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,41,42,,,,133,10.1,96.38,54.644,6.052,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3I,N-10.2,,Germany,Development Zone,,Exclusive Economic Zone 3 (BorWin) (BSH Cluster 10),,,,,,,,,,,,,575,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,41,41,,,,124,10.05,57.04,54.592,6.169,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3D,N-11,,Germany,Development Zone,German Central Tender 2026+,Exclusive Economic Zone 3 (BorWin) (BSH Cluster 11),"Cluster 11 and 13 are considered of great importance to seabirds and harbour porpoises, so development is not likely.",https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,,,,,,,,,,,1000,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,39,42,,,,122,10.09,346.24,54.786,6.373,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3E,N-12.1,,Germany,Development Zone,German Central Tender 2026+,Exclusive Economic Zone 3 (BorWin) (BSH Cluster 12),Area is not likely to be tendered until after 2028.,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,,,,,,,,,,,1000,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,40,41,,,,135,10.09,103.71,54.741,6.183,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3J,N-12.2,,Germany,Development Zone,,Exclusive Economic Zone 3 (BorWin) (BSH Cluster 12),,,,,,,,,,,,,1000,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,39,42,,,,134,10.09,124.69,54.843,6.193,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3F,N-13,,Germany,Development Zone,German Central Tender 2026+,Exclusive Economic Zone 3 (BorWin/SylWin) (BSH Cluster 13),"Cluster 11 and 13 are considered of great importance to seabirds and harbour porpoises, so development is not likely.",https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,,,,,,,,,,,,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,40,48,,,,120,10.09,227.86,55.06,6.43,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0U,ENOVA Offshore NSWP 10,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 10, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 10 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,90,90,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,90,,,,,,,,,,,42,43,42,48,190,180,10.11,82.62,55.181,5.506,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0V,ENOVA Offshore NSWP 11,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 11, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 11 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared,  therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,80,80,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,80,,,,,,,,,,,45,45,42,48,190,175,10.11,74.37,55.27,5.624,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE1H,ENOVA Offshore NSWP 12,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 12, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 12 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,80,80,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,80,,,,,,,,,,,43,44,42,48,190,174,10.11,73.29,55.134,5.596,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE1I,ENOVA Offshore NSWP 13,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 13, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 13 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,80,80,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,80,,,,,,,,,,,45,45,42,48,190,168,10.13,74.38,55.217,5.709,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0X,ENOVA Offshore NSWP 14,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 14, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 14 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,70,70,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,70,,,,,,,,,,,43,44,42,48,190,167,10.12,59.31,55.089,5.694,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0W,ENOVA Offshore NSWP 15,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 15, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 15 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,85,85,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,85,,,,,,,,,,,45,45,42,48,190,162,10.13,65.2,55.166,5.787,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE1K,ENOVA Offshore NSWP 8,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 8, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 8 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,80,80,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,80,,,,,,,,,,,41,42,42,48,190,189,10.11,71.36,55.221,5.384,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE1J,ENOVA Offshore NSWP 9,,Germany,On Hold/Canceled,,Exclusive Economic Zone 4 (Dogger Bank) (Unfeatured cluster in Draft Network Plan),,http://www.enova.de/en/portfolio-item/nswp-8-15/,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for ENOVA Offshore NSWP 9, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.     ENOVA Offshore NSWP 9 is located in the North Sea Zone 4 and may be a future contender for a competitive tender process, in which the current owner will be required to relinquish the project site, in order for the site to be put out to auction. A schedule for rescinding the sites and holding the future tenders has not yet been declared, therefore the project is not expected to progress in current form.",,1-Aug-11,,,,,ENOVA Energieanlagen GmbH,ENOVA Energieanlagen GmbH,,,80,80,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,80,,,,,,,,,,,45,46,42,48,190,181,10.11,67.87,55.305,5.535,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2Q,N-3.5,,Germany,Development Zone,German Central Tender 2023,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 3),N-3.5 and N-3.6 may be offered as one area.,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,01 Sep 2018: The German Federal Maritime and Hydrographic Agency (BSH) selected Fraunhofer IWES to conduct initial exploratory work. Researchers will compile 3D seabed models based on geophysical data. The measurement campaign to collect the data is planned for September 2018.,1-Jan-27,,,2028,,,,,,234,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,29,33,,,,46,9.9,15.9,54.025,6.86,North Sea,Europe,NO,,,0,HVDC Converter Station,DolWin4/Delta,,,,,66,,,,,,,,,Project is to export from turbine arrays direct to Converter platform via 66 kV HVAC cables.,,66,,,,,,,
DE2R,N-3.6,,Germany,Development Zone,German Central Tender 2023,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 3),N-3.5 and N-3.6 may be offered as one area.,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,01 Sep 2018: The German Federal Maritime and Hydrographic Agency (BSH) selected Fraunhofer IWES to conduct initial exploratory work. Researchers will compile 3D seabed models based on geophysical data. The measurement campaign to collect the data is planned for September 2018.,1-Jan-27,,,2028,,,,,,666,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,30,34,,,,51,9.9,42.25,54.045,6.781,North Sea,Europe,NO,,,0,HVDC Converter Station,Dolwin4/Delta,,,,,66,,,,,,66,,,Project is to export from turbine arrays direct to Converter platform via 66 kV HVAC cables.,,66,,,HVDC,,,,
DE2S,N-3.7,,Germany,Development Zone,German Central Tender 2021,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 3),,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,"17 Dec 2018: BSH published a tender for 'Geotechnical monitoring and monitoring of geotechnical investigations including laboratory investigations in the German EEZ'. Works include drilling, core sampling and investigation, pressure probing, borehole geophysics and laboratory investigations.    Lot 1 North Sea: located between Gode Wind 1 & 2 on its west and Gode Wind 3 and Gode Wind 4 on its east/southeast (N-3.7) and another area south of Nordsee One and on the east of Gode Wind 1 & 2.   Lot 3 Baltic Sea: 38 km northeast of the island of Rügen, adjacent to Wikinger and Arkona offshore wind farms.    Contract to start from early 2019 until end of November 2019.",1-Jan-25,,,2026,,,,,,225,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,30,32,,,,42,9.88,17.57,54.04,7.062,North Sea,Europe,NO,,,1,HVDC Converter Station,Dolwin 6/Kappa,Dolwin 6/Kappa,2,,,155,,,,,,,,,"A shared connection has been proposed for connecting Gode Wind III/Godewind 04 and N-3.7 to DolWin6 converter, due to area's cable route only allowing for a maximum of two three-phase submarine cable systems.    Options are for    - N-3.7 to have own substation that connects to DolWin6 via two three phase cable systems from Gode Wind III/Godewind 04's substation.    - N-3.7 and Gode Wind III/Godewind 04's arrays to feed into a shared substation that connects to DolWin6 via two three phase cable systems.    -  N-3.7 and Gode Wind III/Godewind 04 each have a substation that connects to DolWin6 via a single three phase cable.",,66,,,,,,,
DE2T,N-3.8,,Germany,Development Zone,German Central Tender 2021,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 3),,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,01 Sep 2018: The German Federal Maritime and Hydrographic Agency (BSH) selected Fraunhofer IWES to conduct initial exploratory work. Researchers will compile 3D seabed models based on geophysical data. The measurement campaign to collect the data is planned for September 2018.,1-Jan-25,,,2026,,,,,,345,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,33,33,,,,49,9.88,25.03,54.067,6.896,North Sea,Europe,NO,,,1,HVDC Converter Station,Dolwin 6/Kappa,Dolwin 6/Kappa,2,,,155,,,,,,,,,,,66,,,,,,,
DE2U,N-5,,Germany,Development Zone,German Central Tender,Exclusive Economic Zone 2 (SylWin) (BSH Cluster 5),Area is unlikely to be developed due to possible impact on local Loon(avian) and Porpoise populations. ,https://www.bsh.de/DE/THEMEN/Offshore/Meeresfachplanung/_Anlagen/Downloads/Aktuelles_FEP_Vorentwurf.pdf?__blob=publicationFile&v=3,01 Sep 2018: The German Federal Maritime and Hydrographic Agency (BSH) selected Fraunhofer IWES to conduct initial exploratory work. Researchers will compile 3D seabed models based on geophysical data. The measurement campaign to collect the data is planned for September 2018.,,,,,,,,,,,,0,TBD,,,,,,,,,,,,,,,,,,,,Grounded: ,0,,Grounded,,,,,,,,,25.5,34,,,,89,10,55.55,55.065,6.93,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
