"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
PT02,Branca,,Portugal,Cancelled,,Norte,"Blue H Techonologies BV ceased trading in October 2012, therefore marking this project as cancelled.",,10 Oct 2012: blue H Technolgies cease trading.,,,,,,,,,,,,Blue H,Blue H Technologies BV,,301,,Not Decided,,,,,,3.5,,86,,,,Floating: Semi-Submersible Platform - Concrete,,SDP (Submerged Deepwater Platform),,,,,,,,,56,79,,,17,,,,41.0208,-8.8543,Atlantic Ocean,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
US07,Brazoria,"Lease Tract B, Brazoria County",United States,Cancelled,,Texas,"Progress on this tract was originally to be considered following completion of Galveston OWF. However, Coastal Point Energy have returned all their Texas offshore leases to the Texas GLO except for the 300MW concession off Galveston.",,,,,,,,,,,,,,,,,500,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,15,19,,,9,13.94,,49.43,28.7643,-95.3305,Gulf of Mexico,North America,NO,,,,,,,,,,,,,,,,,,,,,,30
NL14,Breeveertien,23 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,"Hub Height 72.5-100, Rotor Diameter 104.5 - 126.5, Total turbine height 124.5 - 160",,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,SSE,SSE Renewables (formerly Airtricity),,150,100,Not Decided,,,,,3.6,5,20,30,163.25,100,126.5,Grounded: Not Specified,,,,,,,,,,,21,23,,,46,47.77,9.9,12.52,52.5433,3.8775,North Sea,Europe,NO,,,,,Velsen,Ijmuiden,,,,,,,,,,,,,,,,20
NL15,Breeveertien II,27 (ID assigned by authority),Netherlands,Cancelled,Round 2 (NL),Noord-Holland,,http://www.airtricity.com/ireland/wind_farms/offshore/the_netherlands/site_exclusivity/breeveertien_ii/,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,13-Nov-2006,01-Sep-2009,,,,,,,,Ørsted,Breeveertien II Wind Farm B.V.,,349.2,,Not Decided,,,,,,3.6,,97,130.1,74.6,111,Grounded: Monopile,97 x Monopile,,,,,,,,,,19,25,19,25,59,66.43,9.8,49.41,52.5719,3.6025,North Sea,Europe,NO,,,1,,Beverwijk,Ijmuiden,2,80,,150,,,,,,92,,,,,,20
DE42,Breitling,Rostock,Germany,Fully Commissioned,,12nm zone (Mecklenburg Vorpommern),,http://www.wind-projekt.de/referenzen/#1035,01 Sep 2006: Fully commissioned around Q3 2006.,01-Feb-2006,01-Feb-2006,,,,01-Jul-2006,01-Sep-2006,2006,2.5,High,,WPD,"Nordex Energy AG,WIND-projekt GmbH",WIND-projekt GmbH,2.5,,N90/2500 HS Offshore (Nordex),,,N90/2500 HS Offshore,,,2.5,,1,125,80,90,Grounded: Gravity-Base,1 x Gravity-Base,18m in diameter. Perimeter was sheet piled prior to being filled with steel reinforced concrete,EUR 120 million,120,EUR,,,,,,0.5,0.5,0.5,0.5,0.3,,,,54.1618,12.1318,Breitling,Europe,NO,Rostock,Rostock,,,,"Peez, Rostock",1,0.3,,20,,,,,,,,,,,,20
US0E,Brigantine OffshoreMW Phase 1,,United States,Cancelled,Unsolicited Lease Application,New Jersey,Wished to lease area off New Jersey after providing an unsolicited lease application.,http://www.offshoremwllc.com,01 Jan 2010: Handed in unsolicited lease request.,,,,,,,,,,,,Vineyard Wind,"Vineyard Wind, LLC(formerly OffshoreMW)",,350,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,20.1,31.3,,,23,34.48,,92.32,39.5848,-73.7703,Atlantic Ocean,North America,NO,,,,,,,,,,,,,,,,,,,,,,
US0F,Brigantine OffshoreMW Phase 2,,United States,Cancelled,Unsolicited Lease Application,New Jersey,Wished to lease area off New Jersey after providing an unsolicited lease application.,http://www.offshoremwllc.com,01 Jan 2010: Handed in unsolicited lease request.,,,,,,,,,,,,Vineyard Wind,"Vineyard Wind, LLC(formerly OffshoreMW)",,350,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,21.9,32.9,,,23,37.73,,207.58,39.3489,-73.9694,Atlantic Ocean,North America,NO,,,,,,,,,,,,,,,,,,,,,,
IT02,Brindisi,,Italy,Decommissioned,,Puglia,"Located near the site of the future Tricase project.
Foundation type is based on a modified Tension Leg Platform (TLP) Floating Prototype known as Submerged Deepwater Platform (SDP)",http://www.bluehgroup.com/product/phase-2.php,01 Jan 2009: Decommissioned early 2009 after 6 months at sea.,01-Dec-2007,01-Dec-2007,,02-Jan-2007,,01-Jul-2008,,2007,0.08,High,,"Blue H (75%), DUFENERGY ITALIA (25%)",Sky Saver S.R.L.,,0.08,,WES18 mk1 (WES),,,WES18 mk1,,,0.08,,1,43,34,18,Floating: Semi-Submersible Platform - Concrete,1 x Semi-Submersible Platform - Concrete,SDP (Submerged Deepwater Platform),,,,,,,,,113,113,,,21.3,17.12,8.2,,39.9591,18.6437,Adriatic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
UK83,Britannia 10MW Turbine Project,,United Kingdom,Cancelled,Demonstration,"England, North East",Initial testing to be carried out near to shore in the Blyth area. Turbine may then be placed on Dogger Bank,,01 Apr 2012: Estimated turbine installation date.,,,,,,,,,,,,United Technologies Corporation,Clipper Windpower Marine Limited (Ceased Trading),,10,,Not Decided,,,,,,,,1,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,55.0228,-1.3656,"North Sea, Northern North Sea (Tyne)",Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
NL67,Brown Ridge Oost,34 (ID assigned by authority),Netherlands,Cancelled,Round 2 (NL),Noord-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,16-Jun-2008,02-Nov-2009,,,,,,,,Eneco,Brown Ridge Oost B.V. i.o.,,282,,V90-3.0 MW Offshore (Vestas),,,V90-3.0 MW Offshore,,,3,,94,110,65,90,Grounded: Monopile,94 x Monopile,,,,,,,,,,24,26,25,30,74,79.05,9.73,34.12,52.7172,3.4677,North Sea,Europe,NO,,,2,,Beverwijk/Velsen,Ijmuiden,2,79,,150,,,,,,,22,,,,,20
US09,Brownsville,"Lease Tract D, Cameron County",United States,Cancelled,,Texas,Coastal Point Energy returned all their Texas offshore leases to the Texas GLO except for the 300MW concession off Galveston.,,,,,,,,,,,,,,,,,500,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,17,26,,,13.24,13.59,,79.37,26.2707,-97.059,Gulf of Mexico,North America,NO,,,,,,,,,,,,,,,,,,,,,,30
NL78,Bruine Bank,19 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,The number of turbines and turbine capacity are approximate. Rotor diameter 105-130. Hub height 70-110.,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Evelop,,550,,Not Decided,,,,,,4.5,,121,175,110,130,Grounded: Not Specified,,,,,,,,,,,25,27,,,63,64.11,9.86,49.28,52.6124,3.6608,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
UK02,Burbo Bank,Crosby Flats,United Kingdom,Fully Commissioned,Round 1,"England, North West",,http://www.burbobank.co.uk/en,17 Aug 2020: Jack-up vessel J/U WIND arrived on site to carry out maintenance work on a turbine.,10-Jun-2006,10-Jun-2006,01-Sep-2002,01-Jul-2003,31-Dec-2005,21-Jul-2007,18-Oct-2007,2006,90,High,,Ørsted,Ørsted Burbo Extension Holding Ltd.,Ørsted Burbo Extension Holding Ltd.,90,,SWT-3.6-107 (Siemens),,,SWT-3.6-107,,,3.6,,25,137,83.5,107,Grounded: Monopile,25 x Monopile,,EUR 181 million,181,EUR,Renewables Obligation (RO) at 1.5 ROCs (Renewable Obligation Certificates)/MWh,The ROC subsidy will expire during 2027. Revenue is estimated using 2019-20 ROC buy-out price of £48.78/ROC and wholesale electricity price of £50/MWh.,GBP,123.17,139.65,0.2,5.4,0.5,8,6.4,8.01,,9.94,53.4887,-3.1873,Irish Sea,Europe,NO,Mostyn,Liverpool harbour,,,Wallasey,Wallasey,3,8.4,,33,,,,,XLPE armoured 36kV 3-core AC cable,14.8,33,XLPE(cross-linked polyethylene) armoured 36kV 3-core AC cable,3,3.5,33kV,20
UK59,Burbo Bank Extension,Burbo Bank 2,United Kingdom,Fully Commissioned,Round 2.5,"England, North West","This is the first offshore wind farm project to be built using energy yield calculations based on wind resource data collected from a floating lidar.

Ofgem's Tender Round 4 will select an OFTO for Burbo Bank Extension's offshore transmission assets, valued in the region of £230.2 million. Tender Round 4 has been described as a 'bridge' between Round 3 and Round 5, only consisting of a single project. The Round will commence in April 2016, as initial documentation becomes available, anticipating a preferred supplier to be announced in March 2017.",http://www.burbobankextension.co.uk/,"15 Feb 2020: MPI Resolution is due to start a maintenance programme at Burbo Bank Extension, where it will visit turbines A07, C10, D01 and D14",06-Jun-2016,06-Jun-2016,22-Mar-2013,26-Sep-2014,19-Dec-2014,21-Nov-2016,01-Apr-2017,2016,254.2,High,,"Ørsted (50%), PKA (25%), Kirkbi (25%)",Ørsted (UK) Limited,Ørsted (UK) Limited,254.2,,V164-8.0 MW (MHI Vestas Offshore Wind),,,V164-8.0 MW,,,8,,32,195,113,164,Grounded: Monopile,32 x Monopile,"Foundations are between 400-600 tons.
TPs are 23m tall, 6.5m diameter and weigh 450t.",GBP 800 million,800,GBP,Contract for Difference (CfD) under  Final Investment Decision Enabling for Renewables (FIDER),"As of  6th July 2016, Burbo Bank Extension will receive  a current strike price of £158.61/MWh for a period of fifteen years. The allocation strike price was £150/MWh.",GBP,150,170.07,3.2,13.9,3.5,17,6,11.5,,39.64,53.4837,-3.2731,Irish Sea,Europe,NO,"Birkenhead, Liverpool","Seacombe terminal,",1,,NGET Bodelwyddan 400kV Substation,Between Rhyl and Prestatyn,1,26,,220,,,,,,65,34,Will require eight array cable strings to connect the turbines to the offshore substation. 32 array cables.,3,10.5,220kV,25
CA28,Burgeo Banks,,Canada,Dormant,,Newfoundland and Labrador,,https://acod.co/projects/,"25 Feb 2016: Beothuk has proposed five projects, totalling more than 4000MW -  St. George’s Bay, Burgeo Banks, Prince Edward Island, New Brunswick and Nova Scotia",,,,,,,,,,,,ACOD,"Beothuk Energy Inc.,COPENHAGEN OFFSHORE PARTNERS",,1000,,Not Decided,,,,,,,,,,,,Grounded: Gravity-Base,,,,,,,,,,,,,,40,30,,,,47.5136,-57.591,Gulf of St. Lawrence,North America,Yes,,,,,,,,,,,,,,,,,,,,,,
KR77,Busan Wind Energy Area,,South Korea,Development Zone,,Busan,"Based on the 1st Marine Spatial Planning document, these are the proposed areas for offshore wind project off the coast of Busan City.",,,,,,,,,,,,,,,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,9,68,,,,3.84,9.13,31.53,35.2429,129.3007,Korea Strait,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
DE08,Butendiek,Offshore-Bürgerpark Butendiek,Germany,Fully Commissioned,,Exclusive Economic Zone 1 (SylWin) (Unfeatured cluster in Draft Network Plan),Ballast Nedam sold their inspection and maintenance contracts to Deutsche Windtechnik.,http://www.owp-butendiek.de/,28 Apr 2020: Jack-up vessel Pacific Orca arrived on the site to carry out heavy maintenance work which lasted five days.,31-Mar-2014,31-Mar-2014,26-Sep-2000,18-Dec-2002,23-Sep-2013,05-Feb-2015,04-Aug-2015,2014,288,High,,"Industriens Pension (22.5%), SGRE (22.5%), Marguerite Fund (15%), ITOCHU Europe (11.25%), Citi Group (11.25%), CDC Infrastructure (7.5%), WPD (5.1%), ewz (4.9%)",WPD offshore GmbH,OWP Butendiek GmbH &amp; Co. KG,288,,SWT-3.6-120 (Siemens),,,SWT-3.6-120,,,3.6,,80,150,90,120,Grounded: Monopile,80 x Monopile,,EUR 1300 million,1300,EUR,Market Premium (EEG 2014),,,,,18.4,21,18,22,32,35.4,9.79,31.2895,55.0175,7.774,North Sea,Europe,NO,"Rømø, Esbjerg",Rømø,1,HVDC Converter Station,Sylwin1 (alpha) offshore converter platform - Büttel (onshore) substation,Büsum,2,38,,155,,,,,,87,33,86 individual cables were installed including 6 redundancy cables.,,,,
PL27,B-Wind,Licence Application No. 13,Poland,Concept/Early Planning,,Pomorskie,,,"10 Sep 2020: PSE has issued approval for connection conditions for 399 MW across OceanWind's B-Wind and C-Wind projects at future connection point SE2, Zarnowiec.",,,,,,,,2033,200,Low,"Poland's latest draft Offshore Act specifies Phase 1 subsidy (allocated, non-competitive CfD) for up to 5.9 GW, followed by competitive auctions for CfD in 2025 and 2027 (2.5 GW each). The latest draft PEP 2040 indicates 8-11 GW by 2040; the higher limit is in line with full auction utilisation and the lower prepares for undersubscribed auctions. 4C is optimistic toward development given appetite by experienced international developers and strong supply chain growth indicators. To fill 2027 auction capacity, 4C models that B-Wind will enter the auction for construction post-2030.",OceanWinds,C-WIND POLSKA SP. Z O.O.,,200,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,39,57,,,,25.66,9.07,41.62,55.0649,18.0805,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
VN06,Ca Mau (intertidal),Nhà máy điện gió khu du lịch Khai Long - Cà Mau giai đoạn 1,Vietnam,Concept/Early Planning,Ca Mau 2020,Ca Mau,,http://conglycm.com.vn/,12 Dec 2020: Project development phase launched.,26-Sep-2016,26-Sep-2016,,11-Sep-2015,,,,2024,150,Low,"Khai Long 1 has been cancelled after installation stalled and the lease area has been resold. New developers have early plans for a 350 MW, four-phase project but no surveys or major construction permits yet in place.",WTO: Trading Construction Works Organization,WTO: Trading Construction Works Organization,,350,,Not Decided,,,,,,,,50,,,,Grounded: High-Rise Pile Cap,50 x High-Rise Pile Cap,Sulphate resistant reinforced concrete piles with cap,VND 10000 million,10000,VND,,,,,,0.3,3.9,,,,5.57,7.36,78.0591,8.5377,104.751,South China Sea,Asia,NO,,,,,,,,,,22,,,,,Cables hang under bridges connecting turbines to shore,,22,Cables hang under bridges connecting turbines to shore.,,,,
ES10,Cabo de Trafalgar,,Spain,Dormant,,Andalucia,Location estimated.,,,,,,,,,,,,,,,Consorcio Eólico Marino Cabo de Trafalgar,,250,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,36.1517,-6.0308,Gulf of Cadiz,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
ES30,Cadiz I y IV,,Spain,Cancelled,,Andalucia,Location estimated.,,21 Mar 2017: Project status changed to 'Cancelled' due to no news of project or developer for several years.,,,,,,,,,,,,,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,36.5086,-6.3828,Gulf of Cadiz,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
US2T,South Fork,Lease OCS-A 0517 ; formerly Lease OCS-A 0486,United States,Consent Application Submitted,Atlantic Wind Lease Sale 2 (Rhode Island and Massachusetts),Rhode Island/Massachusetts,"This project will be the first phase of the regional offshore wind farm.

Deepwater Wind is also proposing to build 15MW of lithium-ion battery storage technology designed and installed by General Electric.",http://dwwind.com/project/deepwateronesouthfork/,"09 Oct 2020: The New York Department of Public Service has signed a joint proposal, along with four other state agencies, to connect South Fork OWF to the Long Island Power Authority grid.",01-Aug-2022,01-Aug-2022,29-Jun-2018,01-Oct-2021,01-Oct-2021,,01-Dec-2023,2022,130,High,"RHODE ISLAND/MASSACHUSETS: In January 2017 Long Island Power Authority, New York (LIPA) approved a 20-year PPA for 90MW South Fork under the 400MW renewables goal set in 2012. Orsted comms suggest 130MW. Delivery required by December 2022. The COVID-19 has delayed cable route survey activities; combined with delays from federal government in issuing a Notice of Intent, Orsted is communicating a delay beyond 2022 delivery.","Ørsted (50%), Eversource Energy (50%)",Ørsted US Offshore Wind (formerly Deepwater Wind LLC),,130,,SG 8.0-167 DD (Siemens Gamesa),,,SG 8.0-167 DD,,,8,,15,,,167,Grounded: Not Specified,,,USD 740 million,740,USD,PPA with Long Island Power Authority,"The price for the 90-megawatt South Fork project starts at 16 cents per kWh, and the price for the 40-megawatt project starts at 8.6 cents per kWh. Weighted average is 13.72 cents/kWh. Both prices escalate at an average of 2% per year for 20 years",USD,137.2,122.25,31,36,,,48,37.81,,70.2,41.0923,-71.1252,Atlantic Ocean,North America,NO,New Bedford Marine Commerce Terminal,,1,,69 kV bus at the East Hampton substation,Napeague,1,80.5,,138,,,,,,,,,1,6.6,,
US4J,Empire Wind,"Lease OCS-A 0512, New York Wind Energy Area I,  Long Island New York City Offshore Wind Project",United States,Consent Application Submitted,Atlantic Wind Lease Sale 6 (New York),New York,,https://www.empirewind.com/,01 Jan 2021: Equinor intends to reach financial close in 2021. Closer refinement of the date was not given; 4C assumes this will occur later in the year.,01-Jan-2023,01-Jan-2023,30-Jun-2020,,01-Jan-2021,,31-Dec-2024,2023,816,High,"NEW YORK: In 2019, Empire won RFP 1 in New York, for 816 MW. Targeting full power 2024.","Equinor (50%), BP United States (50%)",Equinor Wind US LLC,,816,,Not Decided,,,,,12,,60,80,,,,Grounded: Gravity-Base,,"Manufactured locally in the Capital Region (surrounding Albany, NY), Equinor will create a manufature hub at Port of Coeymans.",USD 3000 million,3000,USD,ORECs (Offshore wind Renewable Energy Credits),"[ORECRFP18-1] The project has a 25-year indexed OREC with a strike price of $83.36/MWh, levelized to 2018$.

Project has participated in the following RFPs:

NY: ORECRFP18-1 (2018) - successful bid (see above).",USD,83.36,74.28,22.2,35,20,40,22.5,33.23,,139.84,40.3292,-73.4308,Atlantic Ocean,North America,NO,"Sunset Park, Brooklyn (preferred turbine assembly site)",South Brooklyn Marine Terminal (proposed),,,"Gowanus (proposed location, July 2019)",,4,35,,,,,,,,150,66,XLPE,,,,
NL31,Callantsoog Noord,66 (ID assigned by authority),Netherlands,Failed Proposal,,Noord-Holland,,,02 Nov 2009: Application declined due to aviation safety aspect and effect on ecology.,,,06-Jun-2008,,,,,,,,,Eneco,Eneco Wind B.V. O&amp;M Base,,303,,Not Decided,,,,,,3,,101,115,70,90,Grounded: Monopile,101 x Monopile,,,,,,,,,,24,36,24,36,30,36.23,9.85,32.49,52.9545,4.1799,North Sea,Europe,NO,,,1,,Beverwijk,IJmuiden,1,58,,150,,,,,,77,34,,,,,
NL44,Callantsoog Oost,67 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Eneco Wind B.V. O&amp;M Base,,244.8,,Not Decided,,,,,,3.6,,68,,,,Grounded: Not Specified,,,,,,,,,,,23,28,,,37,35.5,9.85,28.18,52.8831,4.1652,North Sea,Europe,NO,,,,,Velsen,IJmuiden,,,,,,,,,,,,,,,,
NL43,Callantsoog West,68 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Eneco Wind B.V. O&amp;M Base,,244.8,,Not Decided,,,,,,3.6,,68,,,,Grounded: Not Specified,,,,,,,,,,,22,26,,,47,43.8,9.8,30.65,52.9168,4.0516,North Sea,Europe,NO,,,,,Velsen,IJmuiden,,,,,,,,,,,,,,,,
NL42,Callantsoog Zuid,69 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Eneco Wind B.V. O&amp;M Base,,327.6,,Not Decided,,,,,,3.6,,91,,,,Grounded: Not Specified,,,,,,,,,,,23,28,,,38,38.8,9.84,49.5,52.8419,4.0983,North Sea,Europe,NO,,,,,Velsen,IJmuiden,,,,,,,,,,,,,,,,
IT17,Camilla,,Italy,Cancelled,,Sardegna,Blue H Technologies BV ceased trading in October 2012,,10 Oct 2012: blue H Technolgies cease trading.,,,,,,,,,,,,Blue H,Blue H Technologies BV,,280,,Not Decided,,,,,,,,80,,,,Floating: Semi-Submersible Platform - Concrete,,SDP (Submerged Deepwater Platform),,,,,,,,,177,250,,,15,,7.57,,39.8274,7.9048,Mediterranean Sea,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
BR33,Camocim,Energia Camocim Offshore,Brazil,Concept/Early Planning,,Cearà,,,,,,,,,,,,,,,B.I. Energia,B.I. Energia,,1200,,Not Decided,,,,,,12,,100,,,,Grounded: Not Specified,,,,,,,,,,,5,18.7,,,,11.49,,577.7,-2.7725,-41.0602,Atlantic Ocean,South America,NO,,,,,,,,,,,,,,,,,,,,,,
IT48,Canale di Sicilia,MedWOS,Italy,Concept/Early Planning,,Sicilia,Divided into three sub fields,,"10 Oct 2020: Project developers submitted applications to:
- Ministry of Infrastructure and Transport (in agreement with the Ministry of Economic Development) for the Single Authorization for the construction and operation of the plant
- Ministry of Environment (also involving Ministry of Cultural Heritage) scoping documents to define the contents of the EIA
- Ministry of Economic Development for authorisation for use of areas over 12nm from the coast and to the maritime authority for areas within 12 nm.",,,,31-Dec-2024,,,31-Dec-2030,,,,,Renexia,Renexia S.p.A.,,2793,,Not Decided,,,,,,14.7,,190,275,150,250,Floating: Not Specified,,,EUR 9000 million,9000,EUR,,,,,,110,739,100,900,60,89.13,7.93,2423.1725,37.9321,11.4314,Mediterranean Sea,Europe,NO,,,3,,Montecorvino Rovella,,,,,,3,700,,550,Due to project size it cannot be connected to the grid in Sicily- it is therefore proposed the export cable follows the route of the Tyrrhenian Link and connect onshore at Calabria. Developers propose that the first 200 km will be under developer responsibility and the remaining 500 km by grid operator.,,66,,,,,
ES72,CanArray,,Spain,Concept/Early Planning,,Islas Canarias,"EnerOcean aims to build a park of between 3 to 5 units, totalling up to 60MW, off the Gran Canaria. This park would produce energy at ~EUR100/MWh, and has an estimated cost between EUR 140 to 170 million.",,18 Jun 2019: EnerOcean is planning to develop a 3-5 unit floating project of up to 60MW off the Gran Canaria.,,,,,,,,2026,60,Low,"In 2019, Enerocean announced plas to develop a 60 MW project using its multi-platform concept. The developers expect to start offshore construction by 2025, but this seems highly unlikely. 4C estimates that this project could start offshore construction in 2026.",EnerOcean,EnerOcean S.L.,,60,40,Not Decided,,,,,,6,6,10,,,,Floating: Semi-Submersible Platform - Steel,,"The mulit-platform will weigh 3,000t and measure 117mx91mx15m.
The  unit can host two 6MW turbines with a 126-139m rotor diamater.
This project will use between 3 and 5 floating foundation.",,,,,,,,,,,,,,,,,28.3232,-15.8111,Atlantic Ocean,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
ES66,Canary Island Test Areas,,Spain,Concept/Early Planning,,Islas Canarias,"Demonstration sites to be located off of Gran Canaria (180 MW), Tenerife (100 MW), Lanzarote (10 MW), La Palma (10 MW) and Fuerteventura (10 MW).",,"09 Jul 2018: Deputy Minister of Industry and Energy of the Government of the Canary Islands, Gonzalo Piernavieja announced at a meeting at the PLOCAN headquarters in Taliarte a target of the installation of 300 MW of offshore energy by 2025. To achieve the objective of offshore wind energy, Piernavieja said they want to start with an area of ​​140 square km in the southeast of the island of Gran Canaria for the development of commercial offshore generation technologies and prototype tests, and that they will have the PLOCAN collaboration. Piernavieja said that talks are in progress with the Government of State and at least 130 square kilometers will be allocated to floating wind.",31-Dec-2025,31-Dec-2025,,,,,,2031,250,Low,"NOTE: Representative project.

Spain has proposed an ambitious 2030 offshore wind target of 12.2 GW. 4C expect the majority of the capacity will be deployed post-2030. This project is a placeholder representing the potential of the Spanish market post-2030.",Gobierno de Canarias,Gobierno de Canarias,,310,,Not Decided,,,,,,,,,,,,Floating: Not Specified,,,,,,,,,,,,,60,200,,,,,28.3369,-15.6803,Atlantic Ocean,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
CN0U,Cangnan #1 - phase 1,"华润电力苍南1#海上风电一期
浙江温州苍南1号海上风电场一期",China,Consent Authorised,,"Zhejiang, Wenzhou, Cangnan",,,"04 Aug 2020: In Augusr 2020, four tenders sent our on this date for: 1. Manufacture and installation of offshore substation; 2 &3. Biding section 1 & 2 for installation package of foundation, turbines, and 35kV array cables; 4. supply and installation for the 220kV export cables

However, in October, all four tenders have been terminated. The developer China Resources Power has not given an explanation.",31-Dec-2022,31-Dec-2022,,17-Dec-2019,,,,2022,400,High,,China Resources,China Resources (Holdings) Company Limited.华润电力,,400,,Not Decided,,,,,,5,,60,,,,Grounded: Not Specified,,,CNY 5500 million,5500,CNY,,,,,,4.3,8.6,5,12,8,,9.3,51.96,27.3831,120.7172,East China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
CN8C,Cangnan #1 - phase 2,"华润电力苍南1#海上风电二期
浙江温州苍南1号海上风电场二期",China,Consent Authorised,,"Zhejiang, Wenzhou, Cangnan",,,17 Dec 2019: First offshore wind project of Hua Run got authorised,31-Dec-2028,31-Dec-2028,,17-Dec-2019,,,,2028,700,Medium,"4C estimate the start based on fair reasons associating with the project development progress. Following commencement of offshore construction of phase 1, phase 2 may be in construction in 2021; 2018 China Resources Power (Holdings) Company signs a MoU with Cangnan County Government for developing 1000MW offshore wind project in Cangnan region. In addition to Cangnan 1# phase I 300MW, 700MW capacity has been added  as phase II.",China Resources,China Resources (Holdings) Company Limited.华润电力,,700,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,4.3,15,5,12,8,,9.3,,27.4387,120.7791,East China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
CN6H,Cangnan #2,华能苍南2#海上风电项目,China,Concept/Early Planning,,"Zhejiang, Wenzhou, Cangnan",,,16 Mar 2018: Huadong Engineering Corporation Limited wins the bid for typhoon characteristics study and site optimization design.,31-Dec-2022,31-Dec-2022,,,,,,2022,300,High,4C estimate the start based on fair reasons associating with the project development progress. 2018: Huadong Engineering Corporation Limited wins the bid for typhoon characteristics study and site optimization design.,China Huaneng Group,"Huaneng Power International Co., Ltd (华能国际电力股份有限公司 )",,300,,Not Decided,,,,,,4,,75,,,,Grounded: Not Specified,,,,,,,,,,,4.3,15,,,,,9.48,,27.3468,120.7513,East China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
